datetime,americano,americano with milk,cappuccino,cocoa,cortado,espresso,hot chocolate,latte
9/9/2024 17:24,0,0,0,0,0,0,0,1
9/9/2024 18:13,0,0,0,0,0,0,0,1
9/9/2024 20:07,0,0,1,0,0,0,0,0
9/9/2024 20:13,0,0,0,0,0,0,0,1
9/10/2024 8:12,0,0,0,0,0,0,1,0
9/10/2024 9:32,0,0,1,0,0,0,0,0
9/10/2024 15:21,0,0,0,0,1,0,0,0
9/10/2024 15:23,0,0,0,0,1,0,0,0
9/10/2024 18:43,0,0,1,0,0,0,0,0
9/10/2024 18:45,0,1,0,0,0,0,0,0
9/10/2024 19:02,0,0,0,0,0,0,0,1
9/10/2024 19:03,0,0,0,0,0,0,0,1
9/10/2024 21:29,0,1,0,0,0,0,0,0
9/10/2024 21:30,1,0,0,0,0,0,0,0
9/11/2024 8:47,0,0,0,0,0,0,0,1
9/11/2024 9:28,0,1,0,0,0,0,0,0
9/11/2024 10:52,0,0,0,0,0,0,0,1
9/11/2024 19:53,0,0,1,0,0,0,0,0
9/11/2024 20:13,0,1,0,0,0,0,0,0
9/11/2024 20:14,0,0,0,0,0,0,0,1
9/11/2024 20:15,0,0,0,0,0,0,0,1
9/11/2024 21:01,0,0,0,0,1,0,0,0
9/12/2024 10:57,0,0,0,0,0,1,0,0
9/12/2024 10:58,0,1,0,0,0,0,0,0
9/12/2024 11:27,0,1,0,0,0,0,0,0
9/12/2024 12:08,0,0,1,0,0,0,0,0
9/12/2024 12:31,0,0,0,0,1,0,0,0
9/12/2024 12:32,0,0,0,0,1,0,0,0
9/12/2024 12:37,0,0,0,0,1,0,0,0
9/12/2024 12:38,0,0,0,0,1,0,0,0
9/12/2024 17:01,0,0,0,0,0,0,0,1
9/12/2024 21:09,1,0,0,0,0,0,0,0
9/12/2024 21:10,0,0,1,0,0,0,0,0
9/12/2024 21:13,0,0,0,0,1,0,0,0
9/13/2024 7:56,0,0,0,0,0,0,0,1
9/13/2024 8:41,0,0,0,0,0,0,0,1
9/13/2024 8:54,0,0,0,0,0,0,0,1
9/13/2024 9:51,0,0,0,0,0,0,0,1
9/13/2024 15:38,0,1,0,0,0,0,0,0
9/13/2024 15:50,0,1,0,0,0,0,0,0
9/14/2024 16:29,0,0,1,0,0,0,0,0
9/14/2024 16:30,0,0,1,0,0,0,0,0
9/15/2024 8:42,0,0,0,0,0,1,0,0
9/15/2024 9:49,0,1,0,0,0,0,0,0
9/15/2024 13:49,1,0,0,0,0,0,0,0
9/15/2024 14:36,0,0,0,0,1,0,0,0
9/15/2024 14:37,0,0,0,0,1,0,0,0
9/15/2024 14:53,0,0,1,0,0,0,0,0
9/16/2024 13:32,0,0,0,0,0,0,0,1
9/16/2024 13:33,0,1,0,0,0,0,0,0
9/16/2024 15:23,0,0,0,0,0,0,0,1
9/16/2024 17:16,0,1,0,0,0,0,0,0
9/16/2024 17:18,0,0,0,0,0,0,0,1
9/16/2024 18:54,0,0,0,0,0,0,0,1
9/16/2024 18:56,0,0,0,0,0,0,0,1
9/16/2024 21:10,0,1,0,0,0,0,0,0
9/16/2024 21:11,0,0,0,0,0,0,0,1
9/16/2024 21:37,0,1,0,0,0,0,0,0
9/16/2024 21:38,0,1,0,0,0,0,0,0
9/17/2024 7:54,0,0,0,0,1,0,0,0
9/17/2024 8:09,0,0,0,0,0,0,0,1
9/17/2024 8:37,0,1,0,0,0,0,0,0
9/17/2024 8:42,0,0,0,0,1,0,0,0
9/17/2024 9:10,0,0,1,0,0,0,0,0
9/17/2024 9:11,0,1,0,0,0,0,0,0
9/17/2024 9:34,0,1,0,0,0,0,0,0
9/17/2024 12:38,0,0,0,0,0,1,0,0
9/17/2024 12:39,0,1,0,0,0,0,0,0
9/17/2024 12:44,0,0,0,0,0,0,0,1
9/17/2024 13:54,0,1,0,0,0,0,0,0
9/17/2024 13:55,0,0,0,0,1,0,0,0
9/17/2024 16:29,0,0,1,0,0,0,0,0
9/17/2024 16:31,0,0,0,0,0,0,0,1
9/17/2024 18:54,0,0,0,0,0,0,1,0
9/17/2024 19:00,0,1,0,0,0,0,0,0
9/17/2024 19:03,0,1,0,0,0,0,0,0
9/17/2024 19:12,0,0,0,0,0,0,0,1
9/17/2024 19:14,0,1,0,0,0,0,0,0
9/17/2024 19:15,0,1,0,0,0,0,0,0
9/17/2024 19:31,0,1,0,0,0,0,0,0
9/17/2024 22:19,0,0,0,0,0,0,1,0
9/17/2024 22:20,0,0,0,0,0,0,1,0
9/18/2024 14:29,0,0,0,0,0,0,0,1
9/18/2024 17:34,0,0,0,0,0,0,0,1
9/18/2024 21:15,0,1,0,0,0,0,0,0
9/18/2024 21:18,0,1,0,0,0,0,0,0
9/19/2024 8:17,0,1,0,0,0,0,0,0
9/19/2024 8:30,0,0,0,0,1,0,0,0
9/19/2024 10:01,0,0,0,0,0,0,0,1
9/19/2024 12:59,1,0,0,0,0,0,0,0
9/19/2024 13:00,0,1,0,0,0,0,0,0
9/19/2024 13:45,0,0,0,0,1,0,0,0
9/20/2024 8:34,0,1,0,0,0,0,0,0
9/20/2024 9:46,0,1,0,0,0,0,0,0
9/20/2024 13:39,0,1,0,0,0,0,0,0
9/20/2024 16:03,0,0,0,0,0,0,0,1
9/20/2024 20:39,1,0,0,0,0,0,0,0
9/20/2024 21:31,0,1,0,0,0,0,0,0
9/20/2024 21:32,0,1,0,0,0,0,0,0
9/21/2024 11:01,0,0,0,0,0,0,0,1
9/21/2024 11:02,0,0,0,1,0,0,0,0
9/21/2024 11:37,0,0,0,0,1,0,0,0
9/21/2024 11:38,0,0,0,0,1,0,0,0
9/21/2024 15:10,0,0,1,0,0,0,0,0
9/21/2024 15:36,0,0,0,0,0,0,0,1
9/21/2024 18:16,0,0,0,0,0,0,0,1
9/21/2024 18:17,0,0,0,0,0,0,0,1
